pollutant,horizon_h,mode,model,rmse
C6H6(GT),1,engineered,baseline_persistence,3.6189650922986507
C6H6(GT),6,engineered,baseline_persistence,8.164513947074457
C6H6(GT),12,engineered,baseline_persistence,8.438902585906803
C6H6(GT),24,engineered,baseline_persistence,5.902668597645588
CO(GT),1,engineered,baseline_persistence,0.7765282796924261
CO(GT),6,engineered,baseline_persistence,1.7631696428631327
CO(GT),12,engineered,baseline_persistence,1.7606160155561386
CO(GT),24,engineered,baseline_persistence,1.26392738029011
NO2(GT),1,engineered,baseline_persistence,24.960048819382003
NO2(GT),6,engineered,baseline_persistence,68.45940002759463
NO2(GT),12,engineered,baseline_persistence,68.17096946429345
NO2(GT),24,engineered,baseline_persistence,44.69040087951737
NOx(GT),1,engineered,baseline_persistence,109.74626074927022
NOx(GT),6,engineered,baseline_persistence,272.95000455845326
NOx(GT),12,engineered,baseline_persistence,265.19250199390547
NOx(GT),24,engineered,baseline_persistence,202.41460811871073
C6H6(GT),1,raw,baseline_persistence,0.47086483389255046
C6H6(GT),6,raw,baseline_persistence,1.0622878103145224
C6H6(GT),12,raw,baseline_persistence,1.097988613596858
C6H6(GT),24,raw,baseline_persistence,0.7679983083196318
CO(GT),1,raw,baseline_persistence,0.5274057338629374
CO(GT),6,raw,baseline_persistence,1.197516953004479
CO(GT),12,raw,baseline_persistence,1.1957825696998667
CO(GT),24,raw,baseline_persistence,0.8584394992226155
NO2(GT),1,raw,baseline_persistence,0.6068223672682259
NO2(GT),6,raw,baseline_persistence,1.6643675453971325
NO2(GT),12,raw,baseline_persistence,1.6573552948009311
NO2(GT),24,raw,baseline_persistence,1.086501675221731
NOx(GT),1,raw,baseline_persistence,0.5520654579406189
NOx(GT),6,raw,baseline_persistence,1.373042400102534
NOx(GT),12,raw,baseline_persistence,1.3340192099133312
NOx(GT),24,raw,baseline_persistence,1.0182225122022668
