pollutant,horizon_h,mode,Best_Model
C6H6(GT),1,engineered,RandomForest
C6H6(GT),6,engineered,RandomForest
C6H6(GT),12,engineered,RandomForest
C6H6(GT),24,engineered,Baseline
CO(GT),1,engineered,RandomForest
CO(GT),6,engineered,RandomForest
CO(GT),12,engineered,RandomForest
CO(GT),24,engineered,Baseline
NO2(GT),1,engineered,RandomForest
NO2(GT),6,engineered,RandomForest
NO2(GT),12,engineered,RandomForest
NO2(GT),24,engineered,RandomForest
NOx(GT),1,engineered,RandomForest
NOx(GT),6,engineered,RandomForest
NOx(GT),12,engineered,RandomForest
NOx(GT),24,engineered,Baseline
C6H6(GT),1,raw,RandomForest
C6H6(GT),6,raw,RandomForest
C6H6(GT),12,raw,RandomForest
C6H6(GT),24,raw,Baseline
CO(GT),1,raw,RandomForest
CO(GT),6,raw,RandomForest
CO(GT),12,raw,RandomForest
CO(GT),24,raw,Baseline
NO2(GT),1,raw,RandomForest
NO2(GT),6,raw,RandomForest
NO2(GT),12,raw,RandomForest
NO2(GT),24,raw,RandomForest
NOx(GT),1,raw,RandomForest
NOx(GT),6,raw,RandomForest
NOx(GT),12,raw,RandomForest
NOx(GT),24,raw,Baseline
